date,value
2022-01-03,78.25
2022-01-04,79.39
2022-01-05,80.6
2022-01-06,81.99
2022-01-07,82.28
2022-01-10,81.56
2022-01-11,84.98
2022-01-12,85.83
2022-01-13,85.8
2022-01-14,87.17
2022-01-17,87.82
2022-01-18,88.83
2022-01-19,89.64
2022-01-20,89.75
2022-01-21,89.75
2022-01-24,87.74
2022-01-25,89.49
2022-01-26,91.22
2022-01-27,90.7
2022-01-28,91.47
2022-01-31,92.35
2022-02-01,90.24
2022-02-02,91.43
2022-02-03,92.99
2022-02-04,96.86
2022-02-07,97.28
2022-02-08,96.07
2022-02-09,94.95
2022-02-10,96.37
2022-02-11,97.5
2022-02-14,101.66
2022-02-15,98.43
2022-02-16,97.44
2022-02-17,95.28
2022-02-18,96.18
2022-02-21,98.95
2022-02-22,98.73
2022-02-23,99.29
2022-02-24,101.29
2022-02-25,98.56
2022-02-28,103.08
2022-03-01,110.93
2022-03-02,118.94
2022-03-03,115.36
2022-03-04,123.86
2022-03-07,129.02
2022-03-08,133.18
2022-03-09,116.58
2022-03-10,114.54
2022-03-11,118.11
2022-03-14,110.39
2022-03-15,105.14
2022-03-16,104.61
2022-03-17,113.5
2022-03-18,114.32
2022-03-21,122.29
2022-03-22,121.53
2022-03-23,127.52
2022-03-24,123.98
2022-03-25,122.67
2022-03-28,114.5
2022-03-29,112.79
2022-03-30,115.59
2022-03-31,107.29
2022-04-01,106.13
2022-04-04,108.15
2022-04-05,106.6
2022-04-06,100.81
2022-04-07,99.83
2022-04-08,101.26
2022-04-11,97.92
2022-04-12,104.42
2022-04-13,108.49
2022-04-14,110.83
2022-04-19,105.49
2022-04-20,105.05
2022-04-21,107.2
2022-04-22,105.15
2022-04-25,99.27
